unit,year_month,fully_vac_rate
Bellingham-asian,2021-03,0.08
Bellingham-black,2021-03,0.12
Bellingham-hispanic,2021-03,0.08
Bellingham-white,2021-03,0.12
Chelsea-asian,2021-03,0.15
Chelsea-black,2021-03,0.11
Chelsea-hispanic,2021-03,0.07
Chelsea-white,2021-03,0.27
Chicopee-asian,2021-03,0.09
Chicopee-black,2021-03,0.07
Chicopee-hispanic,2021-03,0.05
Chicopee-white,2021-03,0.15
Everett-asian,2021-03,0.1
Everett-black,2021-03,0.07
Everett-hispanic,2021-03,0.05
Everett-white,2021-03,0.19
Fitchburg-asian,2021-03,0.05
Fitchburg-black,2021-03,0.07
Fitchburg-hispanic,2021-03,0.03
Fitchburg-white,2021-03,0.14
Haverhill-asian,2021-03,0.11
Haverhill-black,2021-03,0.14
Haverhill-hispanic,2021-03,0.04
Haverhill-white,2021-03,0.18
Holyoke-asian,2021-03,0.09
Holyoke-black,2021-03,0.09
Holyoke-hispanic,2021-03,0.05
Holyoke-white,2021-03,0.2
Lawrence-asian,2021-03,0.08
Lawrence-black,2021-03,0.41
Lawrence-hispanic,2021-03,0.02
Lawrence-white,2021-03,0.38
Leominster-asian,2021-03,0.07
Leominster-black,2021-03,0.09
Leominster-hispanic,2021-03,0.04
Leominster-white,2021-03,0.16
Lynn-asian,2021-03,0.12
Lynn-black,2021-03,0.13
Lynn-hispanic,2021-03,0.08
Lynn-white,2021-03,0.29
Marlborough-asian,2021-03,0.06
Marlborough-black,2021-03,0.12
Marlborough-hispanic,2021-03,0.05
Marlborough-white,2021-03,0.16
Methuen-asian,2021-03,0.13
Methuen-black,2021-03,0.16
Methuen-hispanic,2021-03,0.04
Methuen-white,2021-03,0.2
Milford-asian,2021-03,0.11
Milford-black,2021-03,0.15
Milford-hispanic,2021-03,0.05
Milford-white,2021-03,0.18
New Bedford-asian,2021-03,0.05
New Bedford-black,2021-03,0.09
New Bedford-hispanic,2021-03,0.03
New Bedford-white,2021-03,0.13
Peabody-asian,2021-03,0.12
Peabody-black,2021-03,0.15
Peabody-hispanic,2021-03,0.08
Peabody-white,2021-03,0.23
Revere-asian,2021-03,0.12
Revere-black,2021-03,0.11
Revere-hispanic,2021-03,0.08
Revere-white,2021-03,0.23
Southbridge-asian,2021-03,0.14
Southbridge-black,2021-03,0.13
Southbridge-hispanic,2021-03,0.22
Southbridge-white,2021-03,0.07
Springfield-asian,2021-03,0.09
Springfield-black,2021-03,0.08
Springfield-hispanic,2021-03,0.05
Springfield-white,2021-03,0.17
Waltham-asian,2021-03,0.07
Waltham-black,2021-03,0.13
Waltham-hispanic,2021-03,0.04
Waltham-white,2021-03,0.19
Worcester-asian,2021-03,0.09
Worcester-black,2021-03,0.1
Worcester-hispanic,2021-03,0.05
Worcester-white,2021-03,0.17
Bellingham-asian,2021-04,0.19
Bellingham-black,2021-04,0.25
Bellingham-hispanic,2021-04,0.2
Bellingham-white,2021-04,0.28
Chelsea-asian,2021-04,0.31
Chelsea-black,2021-04,0.19
Chelsea-hispanic,2021-04,0.16
Chelsea-white,2021-04,0.42
Chicopee-asian,2021-04,0.16
Chicopee-black,2021-04,0.13
Chicopee-hispanic,2021-04,0.1
Chicopee-white,2021-04,0.27
Everett-asian,2021-04,0.25
Everett-black,2021-04,0.12
Everett-hispanic,2021-04,0.14
Everett-white,2021-04,0.33
Fitchburg-asian,2021-04,0.16
Fitchburg-black,2021-04,0.14
Fitchburg-hispanic,2021-04,0.09
Fitchburg-white,2021-04,0.28
Haverhill-asian,2021-04,0.25
Haverhill-black,2021-04,0.24
Haverhill-hispanic,2021-04,0.11
Haverhill-white,2021-04,0.34
Holyoke-asian,2021-04,0.2
Holyoke-black,2021-04,0.18
Holyoke-hispanic,2021-04,0.12
Holyoke-white,2021-04,0.35
Lawrence-asian,2021-04,0.23
Lawrence-black,2021-04,0.88
Lawrence-hispanic,2021-04,0.07
Lawrence-white,2021-04,0.71
Leominster-asian,2021-04,0.2
Leominster-black,2021-04,0.16
Leominster-hispanic,2021-04,0.11
Leominster-white,2021-04,0.34
Lynn-asian,2021-04,0.26
Lynn-black,2021-04,0.21
Lynn-hispanic,2021-04,0.16
Lynn-white,2021-04,0.44
Marlborough-asian,2021-04,0.14
Marlborough-black,2021-04,0.21
Marlborough-hispanic,2021-04,0.15
Marlborough-white,2021-04,0.3
Methuen-asian,2021-04,0.28
Methuen-black,2021-04,0.31
Methuen-hispanic,2021-04,0.11
Methuen-white,2021-04,0.37
Milford-asian,2021-04,0.22
Milford-black,2021-04,0.25
Milford-hispanic,2021-04,0.18
Milford-white,2021-04,0.33
New Bedford-asian,2021-04,0.11
New Bedford-black,2021-04,0.17
New Bedford-hispanic,2021-04,0.07
New Bedford-white,2021-04,0.24
Peabody-asian,2021-04,0.24
Peabody-black,2021-04,0.23
Peabody-hispanic,2021-04,0.17
Peabody-white,2021-04,0.38
Revere-asian,2021-04,0.27
Revere-black,2021-04,0.2
Revere-hispanic,2021-04,0.18
Revere-white,2021-04,0.37
Southbridge-asian,2021-04,0.14
Southbridge-black,2021-04,0.13
Southbridge-hispanic,2021-04,0.36
Southbridge-white,2021-04,0.14
Springfield-asian,2021-04,0.16
Springfield-black,2021-04,0.15
Springfield-hispanic,2021-04,0.1
Springfield-white,2021-04,0.29
Waltham-asian,2021-04,0.16
Waltham-black,2021-04,0.24
Waltham-hispanic,2021-04,0.12
Waltham-white,2021-04,0.36
Worcester-asian,2021-04,0.21
Worcester-black,2021-04,0.16
Worcester-hispanic,2021-04,0.13
Worcester-white,2021-04,0.3
Bellingham-asian,2021-05,0.36
Bellingham-black,2021-05,0.34
Bellingham-hispanic,2021-05,0.39
Bellingham-white,2021-05,0.42
Chelsea-asian,2021-05,0.54
Chelsea-black,2021-05,0.29
Chelsea-hispanic,2021-05,0.34
Chelsea-white,2021-05,0.56
Chicopee-asian,2021-05,0.33
Chicopee-black,2021-05,0.22
Chicopee-hispanic,2021-05,0.18
Chicopee-white,2021-05,0.38
Everett-asian,2021-05,0.46
Everett-black,2021-05,0.18
Everett-hispanic,2021-05,0.27
Everett-white,2021-05,0.44
Fitchburg-asian,2021-05,0.31
Fitchburg-black,2021-05,0.21
Fitchburg-hispanic,2021-05,0.17
Fitchburg-white,2021-05,0.39
Haverhill-asian,2021-05,0.42
Haverhill-black,2021-05,0.34
Haverhill-hispanic,2021-05,0.18
Haverhill-white,2021-05,0.46
Holyoke-asian,2021-05,0.35
Holyoke-black,2021-05,0.25
Holyoke-hispanic,2021-05,0.18
Holyoke-white,2021-05,0.44
Lawrence-asian,2021-05,0.43
Lawrence-black,2021-05,1.0
Lawrence-hispanic,2021-05,0.13
Lawrence-white,2021-05,0.92
Leominster-asian,2021-05,0.39
Leominster-black,2021-05,0.25
Leominster-hispanic,2021-05,0.23
Leominster-white,2021-05,0.47
Lynn-asian,2021-05,0.44
Lynn-black,2021-05,0.29
Lynn-hispanic,2021-05,0.26
Lynn-white,2021-05,0.54
Marlborough-asian,2021-05,0.36
Marlborough-black,2021-05,0.34
Marlborough-hispanic,2021-05,0.39
Marlborough-white,2021-05,0.46
Methuen-asian,2021-05,0.42
Methuen-black,2021-05,0.42
Methuen-hispanic,2021-05,0.18
Methuen-white,2021-05,0.46
Milford-asian,2021-05,0.39
Milford-black,2021-05,0.38
Milford-hispanic,2021-05,0.4
Milford-white,2021-05,0.47
New Bedford-asian,2021-05,0.31
New Bedford-black,2021-05,0.27
New Bedford-hispanic,2021-05,0.15
New Bedford-white,2021-05,0.34
Peabody-asian,2021-05,0.41
Peabody-black,2021-05,0.32
Peabody-hispanic,2021-05,0.28
Peabody-white,2021-05,0.49
Revere-asian,2021-05,0.49
Revere-black,2021-05,0.31
Revere-hispanic,2021-05,0.35
Revere-white,2021-05,0.48
Southbridge-asian,2021-05,0.33
Southbridge-black,2021-05,0.21
Southbridge-hispanic,2021-05,0.55
Southbridge-white,2021-05,0.22
Springfield-asian,2021-05,0.33
Springfield-black,2021-05,0.23
Springfield-hispanic,2021-05,0.17
Springfield-white,2021-05,0.41
Waltham-asian,2021-05,0.37
Waltham-black,2021-05,0.34
Waltham-hispanic,2021-05,0.22
Waltham-white,2021-05,0.51
Worcester-asian,2021-05,0.41
Worcester-black,2021-05,0.23
Worcester-hispanic,2021-05,0.22
Worcester-white,2021-05,0.42
Bellingham-asian,2021-06,0.49
Bellingham-black,2021-06,0.45
Bellingham-hispanic,2021-06,0.52
Bellingham-white,2021-06,0.5
Chelsea-asian,2021-06,0.6
Chelsea-black,2021-06,0.37
Chelsea-hispanic,2021-06,0.47
Chelsea-white,2021-06,0.64
Chicopee-asian,2021-06,0.47
Chicopee-black,2021-06,0.31
Chicopee-hispanic,2021-06,0.27
Chicopee-white,2021-06,0.49
Everett-asian,2021-06,0.58
Everett-black,2021-06,0.25
Everett-hispanic,2021-06,0.41
Everett-white,2021-06,0.53
Fitchburg-asian,2021-06,0.47
Fitchburg-black,2021-06,0.31
Fitchburg-hispanic,2021-06,0.28
Fitchburg-white,2021-06,0.48
Haverhill-asian,2021-06,0.52
Haverhill-black,2021-06,0.44
Haverhill-hispanic,2021-06,0.25
Haverhill-white,2021-06,0.53
Holyoke-asian,2021-06,0.49
Holyoke-black,2021-06,0.34
Holyoke-hispanic,2021-06,0.28
Holyoke-white,2021-06,0.55
Lawrence-asian,2021-06,0.54
Lawrence-black,2021-06,1.0
Lawrence-hispanic,2021-06,0.19
Lawrence-white,2021-06,0.92
Leominster-asian,2021-06,0.53
Leominster-black,2021-06,0.37
Leominster-hispanic,2021-06,0.36
Leominster-white,2021-06,0.56
Lynn-asian,2021-06,0.54
Lynn-black,2021-06,0.37
Lynn-hispanic,2021-06,0.35
Lynn-white,2021-06,0.61
Marlborough-asian,2021-06,0.47
Marlborough-black,2021-06,0.44
Marlborough-hispanic,2021-06,0.63
Marlborough-white,2021-06,0.55
Methuen-asian,2021-06,0.5
Methuen-black,2021-06,0.55
Methuen-hispanic,2021-06,0.25
Methuen-white,2021-06,0.52
Milford-asian,2021-06,0.48
Milford-black,2021-06,0.54
Milford-hispanic,2021-06,0.65
Milford-white,2021-06,0.57
New Bedford-asian,2021-06,0.43
New Bedford-black,2021-06,0.36
New Bedford-hispanic,2021-06,0.23
New Bedford-white,2021-06,0.4
Peabody-asian,2021-06,0.54
Peabody-black,2021-06,0.41
Peabody-hispanic,2021-06,0.41
Peabody-white,2021-06,0.56
Revere-asian,2021-06,0.61
Revere-black,2021-06,0.39
Revere-hispanic,2021-06,0.48
Revere-white,2021-06,0.55
Southbridge-asian,2021-06,0.48
Southbridge-black,2021-06,0.29
Southbridge-hispanic,2021-06,0.71
Southbridge-white,2021-06,0.3
Springfield-asian,2021-06,0.46
Springfield-black,2021-06,0.31
Springfield-hispanic,2021-06,0.26
Springfield-white,2021-06,0.5
Waltham-asian,2021-06,0.5
Waltham-black,2021-06,0.47
Waltham-hispanic,2021-06,0.34
Waltham-white,2021-06,0.58
Worcester-asian,2021-06,0.55
Worcester-black,2021-06,0.34
Worcester-hispanic,2021-06,0.33
Worcester-white,2021-06,0.5
Bellingham-asian,2021-07,0.5
Bellingham-black,2021-07,0.48
Bellingham-hispanic,2021-07,0.55
Bellingham-white,2021-07,0.52
Chelsea-asian,2021-07,0.6
Chelsea-black,2021-07,0.4
Chelsea-hispanic,2021-07,0.5
Chelsea-white,2021-07,0.67
Chicopee-asian,2021-07,0.49
Chicopee-black,2021-07,0.34
Chicopee-hispanic,2021-07,0.3
Chicopee-white,2021-07,0.51
Everett-asian,2021-07,0.59
Everett-black,2021-07,0.27
Everett-hispanic,2021-07,0.44
Everett-white,2021-07,0.55
Fitchburg-asian,2021-07,0.52
Fitchburg-black,2021-07,0.34
Fitchburg-hispanic,2021-07,0.32
Fitchburg-white,2021-07,0.5
Haverhill-asian,2021-07,0.54
Haverhill-black,2021-07,0.47
Haverhill-hispanic,2021-07,0.27
Haverhill-white,2021-07,0.54
Holyoke-asian,2021-07,0.52
Holyoke-black,2021-07,0.37
Holyoke-hispanic,2021-07,0.3
