unit,year,median_income,proportion,median_age,65p_proportion,covid_fully_vac_rate
Bellingham-asian,2021,133438.0,0.0087398133931734,52.4,0.0,0.57
Bellingham-black,2021,119740.0,0.0193102633754576,39.0,5.905279319711823e-05,0.61
Bellingham-hispanic,2021,95506.0,0.0785402149521672,24.3,0.002539270107476,0.74
Bellingham-white,2021,108221.0,0.8490610605881658,40.9,0.1370615330105114,0.6
Chelsea-asian,2021,62127.0,0.0389006870705808,34.6,0.0047970018738288,0.6
Chelsea-black,2021,50087.0,0.0803497813866333,33.5,0.0060462211118051,0.5
Chelsea-hispanic,2021,66780.0,0.6605621486570893,31.3,0.0398251093066833,0.62
Chelsea-white,2021,77508.0,0.3841848844472205,35.3,0.0551905059337913,0.76
Chicopee-asian,2021,42400.0,0.0175605722913221,42.3,0.0019591631317851,0.54
Chicopee-black,2021,50183.0,0.0553059170321374,35.2,0.0065065784743691,0.47
Chicopee-hispanic,2021,35171.0,0.2241713998130707,25.5,0.0138219857646128,0.41
Chicopee-white,2021,60921.0,0.7931555108203322,46.3,0.1735207419656337,0.62
Everett-asian,2021,93361.0,0.0816448891829308,35.0,0.0059543499834601,0.67
Everett-black,2021,93559.0,0.1336834270592127,35.6,0.0138521336420774,0.37
Everett-hispanic,2021,67939.0,0.3061321534899107,27.6,0.0089521998015216,0.54
Everett-white,2021,67669.0,0.4819715514389679,42.2,0.0826786304995038,0.65
Fitchburg-asian,2021,102039.0,0.0147143267298306,37.3,0.0014355440712029,0.62
Fitchburg-black,2021,45670.0,0.0647191118767346,25.8,0.0030864197530864,0.48
Fitchburg-hispanic,2021,52407.0,0.300004785146904,27.3,0.0122739018087855,0.44
Fitchburg-white,2021,63598.0,0.7327495454110441,41.4,0.1247487797875394,0.59
Haverhill-asian,2021,95398.0,0.0156201094003845,33.3,8.942810725410997e-05,0.61
Haverhill-black,2021,69728.0,0.037425662885845,33.0,0.0031448884384362,0.57
Haverhill-hispanic,2021,58175.0,0.2336309302013622,26.9,0.0150686360723175,0.4
Haverhill-white,2021,79675.0,0.7450255615339901,42.3,0.1221736991936565,0.64
Holyoke-asian,2021,56982.0,0.0096933471933471,31.8,0.001039501039501,0.63
